               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13215,             0.42875,                   0,           0.0011111,           0.0019342,          0.00062149,          0.00031074,              0.1319,             0.95464,                   0,              0.0982,              0.0002,              0.0002
                   1,             0.13173,             0.47564,                   0,           0.0022222,           0.0038685,           0.0014376,          0.00040908,             0.13186,             0.88014,                   0,            0.095498,          0.00049835,          0.00049835
                   2,             0.13103,             0.38525,                   0,           0.0044444,           0.0077369,           0.0028422,          0.00051308,             0.13137,             0.80271,                   0,            0.092795,          0.00079472,          0.00079472
                   3,             0.12891,             0.39308,                   0,           0.0077778,             0.01354,           0.0051617,          0.00079546,             0.13085,             0.70312,                   0,            0.090089,           0.0010891,           0.0010891
                   4,             0.12918,             0.34767,                   0,            0.022222,            0.038685,            0.012505,           0.0030851,             0.13075,             0.59133,                   0,            0.087382,           0.0013815,           0.0013815
                   5,             0.12612,             0.35287,                   0,            0.026157,            0.044487,            0.013643,           0.0021017,              0.1309,             0.54623,                   0,            0.084672,            0.001672,            0.001672
                   6,             0.12561,             0.34869,                   0,            0.015325,            0.025145,           0.0074433,            0.001591,             0.13009,             0.55361,                   0,             0.08196,           0.0019604,           0.0019604
                   7,             0.12632,             0.34416,                   0,            0.015556,            0.027079,           0.0079887,           0.0013033,             0.12969,             0.55561,                   0,            0.079247,           0.0022469,           0.0022469
                   8,              0.1246,             0.31115,                   0,                0.02,            0.034816,            0.010409,           0.0024757,             0.12758,             0.50169,                   0,            0.076531,           0.0025314,           0.0025314
                   9,              0.1242,             0.31446,                   0,                0.02,            0.034816,            0.010371,           0.0018868,             0.12696,             0.53816,                   0,            0.073814,           0.0028139,           0.0028139
                  10,             0.12207,             0.31967,                   0,            0.026667,            0.046422,            0.014036,            0.002192,             0.12448,             0.54876,                   0,            0.071094,           0.0030944,           0.0030944
                  11,             0.11904,             0.33373,                   0,            0.035556,            0.061896,            0.018952,           0.0038377,             0.12057,              0.5659,                   0,            0.068373,           0.0033729,           0.0033729
                  12,             0.11513,             0.33618,                   0,            0.041111,            0.071567,            0.022071,           0.0031671,             0.11368,             0.76756,                   0,             0.06565,           0.0036495,           0.0036495
                  13,             0.11137,             0.31436,                   0,            0.067546,             0.11605,            0.039583,           0.0077064,             0.11401,             0.60007,                   0,            0.062924,           0.0039241,           0.0039241
                  14,             0.10978,             0.33501,                   0,                 0.1,             0.17408,            0.070226,            0.014172,             0.11778,              0.6628,                   0,            0.060197,           0.0041967,           0.0041967
                  15,             0.10822,             0.34332,                   0,            0.087778,              0.1528,            0.053399,            0.011927,             0.10734,             0.89429,                   0,            0.057467,           0.0044673,           0.0044673
