               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12521,             0.76245,                   0,                   0,                   0,                   0,                   0,             0.12298,              1.5115,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.12336,             0.74791,                   0,                   0,                   0,                   0,                   0,             0.12289,               1.492,                   0,            0.097299,          0.00029901,          0.00029901
                   2,              0.1244,              0.5888,                   0,                   0,                   0,                   0,                   0,             0.12311,              1.4661,                   0,            0.095497,           0.0004967,           0.0004967
                   3,             0.12605,             0.64218,                   0,                   0,                   0,                   0,                   0,             0.12311,              1.4265,                   0,            0.093693,          0.00069307,          0.00069307
                   4,             0.12299,             0.55475,                   0,           0.0033333,           0.0059524,           0.0016805,          0.00084027,             0.12287,              1.3902,                   0,            0.091888,          0.00088812,          0.00088812
                   5,             0.12442,             0.58382,                   0,           0.0033333,           0.0059524,           0.0016859,           0.0010116,             0.12275,              1.3404,                   0,            0.090082,           0.0010819,           0.0010819
                   6,             0.12206,             0.63527,                   0,           0.0033333,           0.0059524,             0.00168,            0.001344,             0.12255,              1.3102,                   0,            0.088274,           0.0012743,           0.0012743
                   7,             0.12231,              0.8231,                   0,           0.0066667,            0.011905,           0.0034276,            0.001017,             0.12284,              1.2425,                   0,            0.086465,           0.0014653,           0.0014653
                   8,             0.12018,             0.62343,                   0,           0.0066667,            0.011905,           0.0035644,          0.00052674,             0.12303,              1.1804,                   0,            0.084655,           0.0016551,           0.0016551
                   9,             0.11943,             0.48749,                   0,             0.02265,           0.0059524,           0.0035922,          0.00035922,             0.12339,              1.1327,                   0,            0.082844,           0.0018436,           0.0018436
                  10,             0.12079,             0.70813,                   0,            0.023333,            0.041667,            0.014101,           0.0028144,             0.12407,              1.1227,                   0,            0.081031,           0.0020307,           0.0020307
                  11,             0.12075,             0.62086,                   0,            0.033333,            0.059524,            0.019562,           0.0036758,             0.12299,              1.2162,                   0,            0.079217,           0.0022165,           0.0022165
                  12,             0.11688,             0.58989,                   0,            0.053333,            0.095238,            0.030968,           0.0054074,             0.12324,              1.2203,                   0,            0.077401,            0.002401,            0.002401
                  13,             0.11338,             0.54794,                   0,             0.03448,            0.053571,            0.016519,           0.0040938,             0.12272,              1.1517,                   0,            0.075584,           0.0025842,           0.0025842
                  14,             0.11873,             0.54296,                   0,            0.045508,            0.077381,            0.024019,            0.004849,             0.12284,              1.0578,                   0,            0.073766,            0.002766,            0.002766
                  15,             0.11086,             0.51243,                   0,                0.04,            0.071429,            0.021689,           0.0057963,             0.12258,              1.0866,                   0,            0.071947,           0.0029465,           0.0029465
                  16,             0.11361,              0.4868,                   0,                0.04,            0.071429,            0.024024,           0.0044488,             0.12171,              1.0437,                   0,            0.070126,           0.0031258,           0.0031258
                  17,             0.10884,             0.59523,                   0,                0.04,            0.071429,            0.024024,           0.0044488,             0.12171,              1.0437,                   0,            0.068304,           0.0033037,           0.0033037
                  18,             0.11296,             0.53437,                   0,                0.03,            0.053571,            0.017295,           0.0029336,             0.11945,              1.1558,                   0,             0.06648,           0.0034802,           0.0034802
                  19,             0.11178,              0.5467,                   0,                0.05,            0.089286,            0.031017,           0.0049675,             0.11564,              1.1498,                   0,            0.064655,           0.0036555,           0.0036555
                  20,             0.10832,             0.46785,                   0,                0.05,            0.089286,            0.031017,           0.0049675,             0.11564,              1.1498,                   0,            0.062829,           0.0038294,           0.0038294
                  21,             0.10126,             0.40688,                   0,            0.023333,            0.041667,            0.012621,           0.0023025,             0.11487,                1.26,                   0,            0.061002,            0.004002,            0.004002
                  22,             0.10681,             0.57651,                   0,            0.043333,            0.077381,            0.028992,           0.0042938,             0.11305,               1.577,                   0,            0.059173,           0.0041733,           0.0041733
                  23,             0.10688,             0.53731,                   0,            0.043333,            0.077381,            0.028992,           0.0042938,             0.11305,               1.577,                   0,            0.057343,           0.0043433,           0.0043433
                  24,             0.10025,             0.50183,                   0,            0.093333,             0.16667,            0.061594,              0.0133,             0.10894,              1.4681,                   0,            0.055512,           0.0045119,           0.0045119
                  25,               0.101,             0.61354,                   0,             0.11667,             0.20833,             0.07496,            0.014621,             0.11314,               1.885,                   0,            0.053679,           0.0046793,           0.0046793
                  26,             0.09915,             0.52014,                   0,             0.11667,             0.20833,             0.07496,            0.014621,             0.11314,               1.885,                   0,            0.051845,           0.0048453,           0.0048453
                  27,             0.10279,             0.59231,                   0,             0.10667,             0.19048,            0.068859,            0.016633,             0.11249,              1.7984,                   0,             0.05001,             0.00501,             0.00501
                  28,             0.10252,             0.59116,                   0,             0.19333,             0.34524,             0.15651,             0.03142,               0.103,              1.3806,                   0,            0.048173,           0.0051733,           0.0051733
                  29,            0.091267,             0.50514,                   0,             0.19333,             0.34524,             0.15651,             0.03142,               0.103,              1.3806,                   0,            0.046335,           0.0053354,           0.0053354
                  30,            0.094178,             0.50257,                   0,            0.076667,              0.1369,            0.047858,           0.0097013,             0.11013,              1.5867,                   0,            0.044496,           0.0054961,           0.0054961
                  31,            0.096166,             0.54624,                   0,            0.076667,              0.1369,            0.047858,           0.0097013,             0.11013,              1.5867,                   0,            0.042656,           0.0056555,           0.0056555
                  32,             0.10103,             0.54899,                   0,             0.21667,              0.3869,             0.22377,            0.047192,             0.10462,              1.4241,                   0,            0.040814,           0.0058136,           0.0058136
                  33,            0.088946,             0.46463,                   0,             0.21667,              0.3869,             0.22377,            0.047192,             0.10462,              1.4241,                   0,             0.03897,           0.0059704,           0.0059704
                  34,            0.088106,              0.4818,                   0,             0.13333,              0.2381,            0.088837,              0.0182,             0.10589,              1.4623,                   0,            0.037126,           0.0061258,           0.0061258
                  35,            0.096236,             0.55532,                   0,             0.13333,              0.2381,            0.088837,              0.0182,             0.10589,              1.4623,                   0,             0.03528,             0.00628,             0.00628
                  36,             0.09472,             0.82733,                   0,             0.14667,              0.2619,             0.10059,            0.021725,            0.099946,              1.8194,                   0,            0.033433,           0.0064328,           0.0064328
                  37,            0.088768,             0.66201,                   0,             0.14667,              0.2619,             0.10059,            0.021725,            0.099946,              1.8194,                   0,            0.031584,           0.0065842,           0.0065842
                  38,            0.088599,              0.5228,                   0,             0.17333,             0.30952,              0.1259,            0.031428,             0.10052,              1.4225,                   0,            0.029734,           0.0067344,           0.0067344
                  39,            0.083419,             0.54863,                   0,             0.17333,             0.30952,              0.1259,            0.031428,             0.10052,              1.4225,                   0,            0.027883,           0.0068833,           0.0068833
                  40,             0.07969,             0.40855,                   0,             0.17333,             0.30952,              0.1259,            0.031428,             0.10052,              1.4225,                   0,            0.026031,           0.0070308,           0.0070308
                  41,            0.084853,             0.56693,                   0,                0.25,             0.44643,             0.22596,            0.054929,              0.1015,               1.515,                   0,            0.024177,            0.007177,            0.007177
                  42,             0.08786,             0.52304,                   0,                0.25,             0.44643,             0.22596,            0.054929,              0.1015,               1.515,                   0,            0.022322,           0.0073219,           0.0073219
                  43,            0.090893,             0.63481,                   0,                0.28,                 0.5,             0.22206,            0.050704,             0.10425,              1.5606,                   0,            0.020465,           0.0074655,           0.0074655
                  44,            0.089876,             0.58142,                   0,                0.28,                 0.5,             0.22206,            0.050704,             0.10425,              1.5606,                   0,            0.018608,           0.0076077,           0.0076077
                  45,            0.086048,             0.53005,                   0,                0.28,                 0.5,             0.22206,            0.050704,             0.10425,              1.5606,                   0,            0.016749,           0.0077486,           0.0077486
                  46,            0.088813,             0.67478,                   0,             0.26333,             0.47024,             0.22914,             0.06139,             0.10096,               2.176,                   0,            0.014888,           0.0078883,           0.0078883
                  47,            0.089182,             0.70943,                   0,             0.26333,             0.47024,             0.22914,             0.06139,             0.10096,               2.176,                   0,            0.013027,           0.0080266,           0.0080266
                  48,             0.08897,             0.69381,                   0,                0.29,             0.51786,             0.25419,            0.075374,            0.099272,              2.0277,                   0,            0.011164,           0.0081635,           0.0081635
                  49,             0.08963,             0.65949,                   0,                0.29,             0.51786,             0.25419,            0.075374,            0.099272,              2.0277,                   0,           0.0092992,           0.0082992,           0.0082992
                  50,              0.0897,             0.72979,                   0,                0.29,             0.51786,             0.25419,            0.075374,            0.099272,              2.0277,                   0,             0.00835,             0.00835,             0.00835
                  51,            0.089353,             0.69192,                   0,             0.27667,             0.49405,             0.23014,            0.059963,             0.09687,              1.3375,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.086925,             0.66292,                   0,             0.27667,             0.49405,             0.23014,            0.059963,             0.09687,              1.3375,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.087031,             0.73323,                   0,                0.34,             0.60714,             0.43865,             0.12044,            0.095648,              2.3148,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.083035,             0.79582,                   0,                0.34,             0.60714,             0.43865,             0.12044,            0.095648,              2.3148,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.081637,              0.7455,                   0,                0.34,             0.60714,             0.43865,             0.12044,            0.095648,              2.3148,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.086121,             0.77102,                   0,             0.29967,             0.44319,             0.29496,            0.072812,             0.08944,              1.4659,                   0,            0.008185,            0.008185,            0.008185
                  57,             0.07519,              0.6644,                   0,             0.29967,             0.44319,             0.29496,            0.072812,             0.08944,              1.4659,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.084397,             0.62368,                   0,                0.37,             0.66071,             0.39012,            0.096277,            0.093531,              1.8804,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.085866,             0.72013,                   0,                0.37,             0.66071,             0.39012,            0.096277,            0.093531,              1.8804,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.082856,             0.64294,                   0,                0.37,             0.66071,             0.39012,            0.096277,            0.093531,              1.8804,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.086509,              0.6759,                   0,             0.26667,             0.47619,             0.23747,            0.068042,            0.087371,              1.3903,                   0,             0.00802,             0.00802,             0.00802
                  62,             0.08013,             0.70963,                   0,             0.26667,             0.47619,             0.23747,            0.068042,            0.087371,              1.3903,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.076607,             0.64487,                   0,             0.34333,              0.6131,             0.43957,             0.13954,             0.08047,              1.5962,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.073151,              0.6497,                   0,             0.34333,              0.6131,             0.43957,             0.13954,             0.08047,              1.5962,                   0,            0.007921,            0.007921,            0.007921
                  65,             0.07036,             0.57007,                   0,             0.34333,              0.6131,             0.43957,             0.13954,             0.08047,              1.5962,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.068869,             0.47894,                   0,             0.34333,              0.6131,             0.38643,             0.10894,            0.086937,              1.3536,                   0,            0.007855,            0.007855,            0.007855
                  67,             0.07201,             0.60964,                   0,             0.34333,              0.6131,             0.38643,             0.10894,            0.086937,              1.3536,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.071465,             0.56008,                   0,             0.32818,             0.58333,             0.38679,             0.11146,            0.082788,              1.4161,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.067989,                0.63,                   0,             0.32818,             0.58333,             0.38679,             0.11146,            0.082788,              1.4161,                   0,            0.007756,            0.007756,            0.007756
                  70,             0.07526,             0.63939,                   0,             0.32818,             0.58333,             0.38679,             0.11146,            0.082788,              1.4161,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.076554,             0.52761,                   0,                0.07,               0.125,            0.040735,             0.00855,             0.10118,              1.6861,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.079885,             0.66501,                   0,                0.07,               0.125,            0.040735,             0.00855,             0.10118,              1.6861,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.075635,             0.54146,                   0,             0.34212,              0.4881,             0.31457,            0.089941,            0.087449,              1.4063,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.077427,             0.55441,                   0,             0.34212,              0.4881,             0.31457,            0.089941,            0.087449,              1.4063,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.072979,             0.63595,                   0,             0.34212,              0.4881,             0.31457,            0.089941,            0.087449,              1.4063,                   0,            0.007558,            0.007558,            0.007558
                  76,             0.07963,             0.66366,                   0,             0.24667,             0.44048,             0.24316,            0.073229,             0.08421,              1.6794,                   0,            0.007525,            0.007525,            0.007525
                  77,             0.07915,             0.73531,                   0,             0.24667,             0.44048,             0.24316,            0.073229,             0.08421,              1.6794,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.079119,             0.70108,                   0,                0.31,             0.55357,             0.33378,            0.086993,            0.080114,              1.3805,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.073124,             0.53592,                   0,                0.31,             0.55357,             0.33378,            0.086993,            0.080114,              1.3805,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.070383,             0.75813,                   0,                0.31,             0.55357,             0.33378,            0.086993,            0.080114,              1.3805,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.068413,             0.68503,                   0,             0.38731,             0.66667,             0.41895,             0.12787,            0.078035,              1.6696,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.068947,             0.84243,                   0,             0.38731,             0.66667,             0.41895,             0.12787,            0.078035,              1.6696,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.074794,             0.76861,                   0,                0.33,             0.58929,             0.29221,            0.080585,            0.078016,              1.3592,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.077221,             0.53701,                   0,                0.33,             0.58929,             0.29221,            0.080585,            0.078016,              1.3592,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.075579,             0.62611,                   0,                0.33,             0.58929,             0.29221,            0.080585,            0.078016,              1.3592,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.071842,             0.64687,                   0,                0.34,             0.60714,             0.32918,            0.087468,            0.088875,              1.3813,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.083402,             0.72771,                   0,                0.34,             0.60714,             0.32918,            0.087468,            0.088875,              1.3813,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.079345,             0.61546,                   0,                0.37,             0.66071,             0.44331,             0.13603,            0.077192,              1.3842,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.068771,             0.56813,                   0,                0.37,             0.66071,             0.44331,             0.13603,            0.077192,              1.3842,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.067551,             0.57962,                   0,                0.37,             0.66071,             0.44331,             0.13603,            0.077192,              1.3842,                   0,            0.007063,            0.007063,            0.007063
